,nav
20230721,106719639.49895987
20230724,106513210.62030603
20230725,108733942.54524928
20230726,108186642.39657785
20230727,107737632.00099266
20230728,109297896.36085664
20230731,109621967.23532088
20230801,108901228.25601593
20230802,108841415.33803102
20230803,108447847.43579751
20230804,109110699.20737249
20230807,108959705.70546365
20230808,108642643.19906512
20230809,107367955.34408496
20230810,107473812.22185047
20230811,105776892.58929157
20230814,106001632.08488894
20230815,105910529.37568447
20230816,104683165.19697548
20230817,105942256.48709063
20230818,104848062.82022989
20230821,104072266.48314653
20230822,104877264.18994895
20230823,103637021.99414334
20230824,103558326.82915422
20230825,101814757.66215901
20230828,102912439.10265385
20230829,105596016.50889301
20230830,105720458.89494243
20230831,105151633.4218254
20230901,105492237.59870921
20230904,107236466.86844143
20230905,106519648.31060839
20230906,106708562.44241342
20230907,105324337.0903801
20230908,105224516.24797598
20230911,106534208.73917907
20230912,106283271.4428964
20230913,105729456.99732016
20230914,106079663.32550906
20230915,106041136.28948522
20230918,106540273.10061331
20230919,106242455.50639886
20230920,105350035.23596962
20230921,104697368.761745
20230922,106121331.418118
20230925,105755136.9877422
20230926,105581892.47314498
20230927,106023548.8948745
20230928,106601304.76236358
20231009,106314018.19856115
20231010,105411541.83073713
20231011,105155992.14086281
20231012,106154500.47575624
20231013,105382737.61155526
20231016,105212298.67525782
20231017,105569127.47669494
20231018,104028706.40953739
20231019,102728237.31433141
20231020,101920121.12051868
20231023,99986666.51488818
20231024,101560941.7146009
20231025,102375759.23166795
20231026,102825972.98196876
20231027,103860733.98702912
20231030,103779600.1792885
20231031,103482528.15316167
20231101,103556219.17944089
20231102,102722892.6056805
20231103,103492966.91393955
20231106,104213354.24612236
20231107,104371427.33106486
20231108,103928991.95379312
20231109,103840379.37363917
20231110,103597378.09899397
20231113,104375081.92854096
20231114,104382682.2248955
20231115,105500041.75190681
20231116,104833247.98964083
20231117,105514885.39862704
20231120,105896490.44725141
20231121,105564815.84430414
20231122,104430719.88890837
20231123,105529458.48772243
20231124,104835160.37679109
20231127,105096505.07943419
20231128,105733046.37543464
20231129,105367786.16817765
20231130,105113502.58901365
20231201,105038988.25865717
20231204,104844307.67074467
20231205,103155148.54258388
20231206,103569755.32917537
20231207,103327365.9052143
20231208,102510283.84292692
20231211,103440375.69608124
20231212,103770487.30993831
20231213,103001403.61245367
20231214,103004295.27472484
20231215,102551632.69655216
20231218,101433904.21690676
20231219,101475110.37744568
20231220,100592413.91759193
20231221,101158244.78643353
20231222,100932844.19492179
20231225,100930016.49383818
20231226,100119644.11159702
20231227,100911655.96883048
20231228,102380640.8194127
20231229,103264119.34938519
20240102,104088474.3064135
20240103,104363843.48297422
20240104,104212048.95965238
20240105,103524613.29038943
20240108,102106646.93065314
20240109,102638376.35105933
20240110,102236925.11146009
20240111,103219690.48781653
20240112,103296294.35720445
20240115,103749475.23398827
20240116,103803850.54058577
20240117,102350932.01563512
20240118,101689844.29806513
20240119,100784659.81333968
20240122,96059092.14731999
20240123,96854846.58770992
20240124,98778893.63500825
20240125,102110552.23998727
20240126,102112010.26172706
20240129,100795122.32208633
20240130,98602674.8844843
20240131,96578269.26997313
20240201,95502404.80200104
20240202,92971027.43621473
20240205,89826268.0888945
20240206,94261372.35587578
20240207,96256052.42067613
20240208,99629331.44878533
20240219,100956670.94336495
20240220,101280218.21545422
20240221,101835902.37884256
20240222,102926972.6484861
20240223,103768620.17583983
20240226,103752275.9111962
20240227,105510562.90917757
20240228,102238686.95975251
20240229,105034368.41077438
20240301,105813957.04576305
20240304,106523377.19184633
20240305,105997679.92145233
20240306,106677913.83881932
20240307,106683646.39552954
20240308,108018976.6271771
20240311,108769394.91035868
20240312,108151931.07899383
20240313,108042213.90316448
20240314,107884983.29144861
20240315,109163766.50745073
20240318,110221578.9406348
20240319,109659446.59781991
20240320,109842849.23858975
20240321,109687397.42361727
20240322,108379981.6853355
20240325,107871413.06449907
20240326,108359900.48489584
20240327,106532543.89732936
20240328,107927686.4093436
20240329,109435695.00771424
20240401,111255942.44629817
20240402,111932517.53069529
20240403,112523785.31774096
20240408,111318896.31887616
20240409,112053680.12811878
20240410,111107236.60538018
20240411,112215384.89373462
20240412,112297380.70683213
20240415,113369130.4680154
20240416,110402939.69973259
20240417,114287589.63836415
20240418,114275712.95507792
20240419,114810306.76349804
20240422,113447160.0731072
20240423,111688949.17755063
20240424,113218135.07114887
20240425,112636927.24382266
20240426,112739864.1184459
20240429,113624604.72775882
20240430,113449938.66507486
20240506,115610349.84130105
20240507,116152818.41436808
20240508,115120708.08712025
20240509,116803061.88976222
20240510,116940963.82071407
20240513,116383231.13263647
20240514,117280538.11364406
20240515,116272913.22822288
20240516,115988489.6553157
20240517,116773016.25380032
20240520,119102525.21477385
20240521,117436740.53575896
20240522,117095726.90447646
20240523,114364828.0673023
20240524,114367477.55379467
20240527,115773012.11543134
20240528,115088231.39653091
20240529,116092769.05237547
20240530,114251784.743413
20240531,114437478.32083383
20240603,112729015.77848577
20240604,112799988.61927415
20240605,110147977.85013472
20240606,107637388.48652074
20240607,109110140.26764202
20240611,108620895.67397124
20240612,110154505.55659808
20240613,109950527.2906261
20240614,110613738.65117212
20240617,109996670.8295169
20240618,111945790.2571766
20240619,111432472.88914058
20240620,109803528.51539057
20240621,109513715.99634811
20240624,106255582.76624271
20240625,106302132.35773496
20240626,108507638.324769
20240627,106556119.3512008
20240628,108347871.38891764
20240701,109470176.59757921
20240702,108555896.21569519
20240703,107533179.73963465
20240704,105953047.48202007
20240705,107122842.94083034
20240708,104975435.3057874
20240709,108026925.16799802
20240710,107206511.04840766
20240711,110081875.99580324
20240712,109537094.57369663
20240715,108376557.0010956
20240716,108358165.17007683
20240717,106205419.0945739
20240718,105990784.20090723
20240719,106150739.22276548
20240722,105775298.72298922
20240723,102971469.40577793
20240724,101959218.73886852
20240725,101737911.2985071
20240726,103472513.29314257
20240729,103496931.56030537
20240730,103458897.2490458
20240731,106745970.11889477
20240801,106475880.29910257
