,nav
20240307,94112085.15797713
20240308,95325660.9452625
20240311,95903376.51555096
20240312,95504787.05645718
20240313,95162919.1708164
20240314,94950220.99014932
20240315,95673430.44381337
20240318,96697627.8620792
20240319,96131836.6535195
20240320,96344525.09970264
20240321,96042097.96847096
20240322,95005469.99988408
20240325,94519626.59828286
20240326,95049817.59200594
20240327,93815952.30500032
20240328,94774976.37930308
20240329,95789494.0944921
20240401,97259356.62948553
20240402,97509011.65733263
20240403,97906082.63129209
20240408,96771828.43538266
20240409,97382495.22736226
20240410,96470400.5420627
20240411,97313415.60105063
20240412,96998467.70293117
20240415,98256569.67232193
20240416,95828380.24048981
20240417,98708469.74656653
20240418,98792529.98470527
20240419,99079170.62614125
20240422,98522070.94908999
20240423,96982344.98029554
20240424,98120093.80819125
20240425,97745769.33417162
20240426,97986249.15585174
20240429,98893857.20024715
20240430,98481998.9782661
20240506,100381254.1186449
20240507,100452699.1237625
20240508,99688766.8909076
20240509,100906809.55042201
20240510,101073838.56824584
20240513,102097530.76962596
20240514,102768542.82620111
20240515,101622370.83357608
20240516,100810437.77968445
20240517,100908945.52814625
20240520,102254863.83890197
20240521,101820768.41713509
20240522,100998304.50049752
20240523,99342602.79554816
20240524,98987499.64838757
20240527,100514524.70198324
20240528,99400280.09589875
20240529,99465430.0404221
20240530,98733420.6781102
20240531,98719672.91632979
20240603,98208838.81865534
20240604,99234917.41239116
20240605,96888556.03098686
20240606,95759020.29201314
20240607,96414530.21560642
20240611,96192632.63164431
20240612,97096673.10164621
20240613,96520513.63908182
20240614,96845097.72911984
20240617,96386669.84665434
20240618,97389221.91546503
20240619,96499218.51345177
20240620,95246952.19740725
20240621,95517765.53620636
20240624,93337390.41281074
20240625,93784171.92421868
20240626,95238692.44942744
20240627,93497584.18373679
20240628,94468300.11883001
20240701,95770440.63716705
20240702,94323823.31250845
20240703,93265782.0584036
20240704,92409619.79491034
20240705,93152194.36824177
20240708,91633273.03624056
20240709,93525752.99046174
20240710,92496356.33009148
20240711,94007779.36902432
20240712,93319685.48863982
20240715,92658931.73417307
20240716,92093161.01541506
20240717,90218553.97639142
20240718,90600875.8320745
20240719,90196184.36500278
20240722,89974578.53921863
20240723,87790583.44282041
20240724,87117424.51247187
20240725,87031259.29188062
20240726,88160479.9762884
20240729,87797632.69433431
20240730,87567670.51496644
20240731,90402770.0755839
20240801,89758674.14649709
20240802,88852587.07627754
