,nav
20230221,99683975.91106705
20230222,99392897.45870778
20230223,99072003.02117336
20230224,99074104.90904962
20230227,98551505.52939858
20230228,99711891.9961155
20230301,101382753.5194913
20230302,101255961.44627234
20230303,101140394.51033781
20230306,100750143.23432235
20230307,99118661.11294568
20230308,99822596.27735314
20230309,99842456.6298084
20230310,98210261.02200356
20230313,99202129.49290904
20230314,98288241.48588537
20230315,99013450.93136063
20230316,97708463.497078
20230317,98849294.13978146
20230320,98593572.24880639
20230321,99875701.79923944
20230322,100653583.83834305
20230323,101408193.19939822
20230324,101455372.62778391
20230327,101466310.30446616
20230328,100810341.70992911
20230329,100527003.03872736
20230330,100206281.53601469
20230331,101575514.76289344
20230403,102927706.74069746
20230404,102443135.65679884
20230406,103590685.32711051
20230407,104095564.78224196
20230410,102786989.4486529
20230411,103212167.35206671
20230412,105669441.89984614
20230413,103582366.35739614
20230414,104730829.85041663
20230417,104348912.67468497
20230418,105857894.41219123
20230419,106218575.94311091
20230420,107980628.9429428
20230421,104610238.01111901
20230424,105284294.76111895
20230425,102622753.08232734
20230426,101556303.9441195
20230427,100220465.07536669
20230428,103483303.57588755
20230504,103014235.85269134
20230505,101628415.64650403
20230508,103493647.01373635
20230509,101682320.46712616
20230510,101180558.3198248
20230511,100928294.81595045
20230512,100542734.53254744
20230515,101785941.57263698
20230516,100942954.75758325
20230517,102156204.48538233
20230518,104443896.17352659
20230519,103492978.9553373
20230522,103427710.63633466
20230523,102174796.70042352
20230524,102495378.86871283
20230525,103216623.19047049
20230526,104537746.0734559
20230529,105355733.13105075
20230530,106727499.47937249
20230531,106479841.37757728
20230601,106038317.34242927
20230602,106636117.94228713
20230605,107145125.70959754
20230606,105689557.60550605
20230607,106073774.89638485
20230608,105980167.09410748
20230609,106882593.33329837
20230612,107381823.41443038
20230613,107644637.70583694
20230614,107664706.49493138
20230615,108006561.32756782
20230616,108317929.07896432
20230619,107510714.78412086
20230620,106849424.93273331
20230621,105756370.84346513
20230626,104104018.81886
20230627,105868564.2100565
20230628,105929769.29690337
20230629,106529844.46598335
20230630,107370243.22557943
20230703,107929150.53949144
20230704,108042714.94340971
20230705,107344907.9144524
20230706,106982785.47454493
20230707,106969576.49565405
20230710,107204496.54021403
20230711,108119428.9891446
20230712,107586435.92848511
20230713,108476350.85315064
20230714,108583402.7455905
20230717,108418896.3479905
20230718,108398750.52118947
20230719,108593447.2448311
20230720,107629330.7174209
20230721,107092399.16146049
20230724,107003086.97649944
