code,day,E,upgraded,stayed_l1,fell
002706,20220505,E1,False,True,False
002745,20220505,E1,True,False,False
002815,20220505,E1,True,False,False
002821,20220505,E1,False,True,False
002824,20220505,E0,False,True,False
002845,20220505,E0,True,False,False
002860,20220505,E0,True,False,False
002873,20220505,E0,True,False,False
002876,20220505,E0,True,False,False
002886,20220505,E0,False,False,True
002901,20220505,E0,False,False,True
002906,20220505,E0,True,False,False
002907,20220505,E0,False,False,True
002928,20220505,E0,False,False,True
002930,20220505,E0,True,False,False
002939,20220505,E0,True,False,False
002946,20220505,E1,True,False,False
002957,20220505,E0,True,False,False
002958,20220505,E0,False,True,False
002978,20220505,E0,True,False,False
002979,20220505,E0,True,False,False
003002,20220505,E0,True,False,False
003012,20220505,E0,False,False,True
003016,20220505,E1,True,False,False
003026,20220505,E1,False,False,True
003030,20220505,E0,False,False,True
003035,20220505,E1,False,True,False
300006,20220505,E0,True,False,False
300009,20220505,E1,True,False,False
300031,20220505,E0,False,False,True
300033,20220505,E1,False,True,False
300040,20220505,E0,False,True,False
300046,20220505,E1,False,True,False
300052,20220505,E0,True,False,False
300079,20220505,E0,True,False,False
300095,20220505,E0,False,True,False
300099,20220505,E1,False,True,False
300109,20220505,E0,True,False,False
300113,20220505,E0,False,False,True
300127,20220505,E0,False,False,True
300133,20220505,E1,True,False,False
300151,20220505,E0,False,False,True
300187,20220505,E0,True,False,False
300193,20220505,E0,False,True,False
300206,20220505,E1,False,False,True
300215,20220505,E0,True,False,False
300218,20220505,E0,False,True,False
300219,20220505,E0,True,False,False
300223,20220505,E0,False,True,False
300224,20220505,E1,True,False,False
300226,20220505,E1,False,True,False
300258,20220505,E0,True,False,False
300260,20220505,E1,True,False,False
300261,20220505,E0,False,True,False
300286,20220505,E0,True,False,False
300296,20220505,E1,True,False,False
300304,20220505,E1,True,False,False
300305,20220505,E0,False,True,False
300307,20220505,E0,True,False,False
300315,20220505,E1,False,True,False
300319,20220505,E0,True,False,False
300320,20220505,E0,True,False,False
300341,20220505,E0,True,False,False
300358,20220505,E0,True,False,False
300381,20220505,E0,True,False,False
300382,20220505,E0,True,False,False
300384,20220505,E0,True,False,False
300394,20220505,E0,True,False,False
