day,code,rps,order,capex,margin,discovery,fwd1,fwd3,fwd6,disc_q,state,lc_score,ev_score,ms_score,ex_score,rpi,rpi_q,n_green,n_red,ev,unconfirmed,exec,growth_ra,recovery_ra
20230103,601717,7.746478873239436,1.0,1.0,0.5,0.8333333333333334,0.1198957428323195,0.258036490008688,0.1374396509117073,high,L5-A,1.0,0.8333333333333334,0.7687793427230047,1.0,0.903755868544601,Q5高,3,0,0.8333333333333334,0.9225352112676056,1.0,0.7267605633802816,0.9845070422535211
20230103,300171,8.040201005025125,1.0,1.0,1.0,1.0,0.0935922330097087,0.0236893203883494,-0.1003483895417044,high,L5-A,1.0,1.0,0.9195979899497488,1.0,0.9839195979899495,Q5高,3,0,1.0,0.9195979899497487,1.0,0.7758793969849245,0.9839195979899498
20230103,603619,8.333333333333332,1.0,1.0,1.0,1.0,0.0798898071625344,-0.062809917355372,-0.038195788675759,high,L5-A,1.0,1.0,0.9166666666666669,1.0,0.9833333333333332,Q5高,3,0,1.0,0.9166666666666667,1.0,0.7749999999999999,0.9833333333333334
20230103,300861,8.450704225352112,1.0,1.0,0.5,0.8333333333333334,0.0760675273088382,-0.0871896722939424,-0.128103277060576,high,L5-A,1.0,0.8333333333333334,0.7629107981220657,1.0,0.9025821596244132,Q5高,3,0,0.8333333333333334,0.9154929577464789,1.0,0.7246478873239437,0.9830985915492958
20230103,603214,9.090909090909092,1.0,0.5,0.5,0.6666666666666666,0.1324396782841823,-0.015549597855228,-0.1037578472568657,high,L5-A,1.0,0.6666666666666666,0.606060606060606,1.0,0.8212121212121212,Q5高,3,0,0.6666666666666666,0.9090909090909091,1.0,0.6727272727272726,0.9818181818181817
20230103,002192,10.909090909090908,1.0,1.0,0.5,0.8333333333333334,0.1553677932405566,-0.2162027833001989,-0.3220290865685092,high,L5-A,1.0,0.8333333333333334,0.7424242424242424,1.0,0.8984848484848486,Q5高,3,0,0.8333333333333334,0.8909090909090909,1.0,0.7172727272727273,0.9781818181818183
20230103,603868,11.627906976744184,1.0,1.0,1.0,1.0,0.0015997673065735,0.1881908086096568,-0.0302817770080047,high,L5-A,1.0,1.0,0.8837209302325582,1.0,0.9767441860465116,Q5高,3,0,1.0,0.8837209302325582,1.0,0.7651162790697674,0.9767441860465116
20230103,000902,11.76470588235294,1.0,1.0,0.5,0.8333333333333334,0.0843373493975905,-0.0344234079173837,-0.0960768379704852,high,L5-A,1.0,0.8333333333333334,0.7352941176470589,1.0,0.8970588235294118,Q5高,3,0,0.8333333333333334,0.8823529411764706,1.0,0.7147058823529411,0.9764705882352942
20230103,002057,11.76470588235294,1.0,1.0,0.5,0.8333333333333334,0.1522556390977445,-0.0178571428571427,-0.0005930451288879,high,L5-A,1.0,0.8333333333333334,0.7352941176470589,1.0,0.8970588235294118,Q5高,3,0,0.8333333333333334,0.8823529411764706,1.0,0.7147058823529411,0.9764705882352942
20230103,002003,12.5,0.5,1.0,1.0,0.8333333333333334,0.0931615460852326,-0.0753221010901884,-0.0395773543297628,high,L5-A,1.0,0.8333333333333334,0.7291666666666667,1.0,0.8958333333333334,Q5高,3,0,0.8333333333333334,0.875,1.0,0.7124999999999999,0.9750000000000001
