code,day,state,rps_t0,rps_t1,state_t1,fwd6,fwd6_excess,R1_price,R2_state,R3_excess,year,ind,gate,cycle,health,regime
600876,20220505,L5-A,4.3478260869565215,54.166666666666664,L0,0.1040748898678414,0.1708254567595289,True,False,True,2022,建筑材料,YELLOW,STABLE,WARNING,OVERREACTION
600976,20220505,L5-A,2.2598870056497176,32.38095238095238,L1,0.4343515892197884,0.3474852223617709,False,False,True,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
601011,20220505,L5-A,5.263157894736842,61.904761904761905,L2,-0.093994778067885,-0.1172257830552261,True,True,False,2022,煤炭,YELLOW,STABLE,WARNING,OVERREACTION
601677,20220505,L5-A,63.04347826086957,39.68253968253968,L1,-0.4323846622087239,-0.5252810014152641,False,False,False,2022,有色金属,YELLOW,STABLE,WARNING,OVERREACTION
603088,20220505,L5-B,67.71653543307087,87.5,L3,0.4700782414561237,0.2016429579858505,True,True,True,2022,机械设备,YELLOW,STABLE,WARNING,OVERREACTION
603115,20220505,L5-A,47.82608695652174,26.984126984126984,L1,-0.1914879992684753,-0.2843843384750155,False,False,False,2022,有色金属,YELLOW,STABLE,WARNING,OVERREACTION
603198,20220505,L5-A,43.75,1.3888888888888888,L1,-0.1611026242419885,-0.1435877334949094,False,False,False,2022,食品饮料,GREEN,STABLE,HEALTHY,OVERREACTION
603309,20220505,L5-B,48.58757062146893,96.1904761904762,L3,0.6509055072502976,0.5640391403922801,True,True,True,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
603336,20220505,L5-B,41.17647058823529,60.0,L2,-0.0015974440894568,-0.004071667864079,True,True,False,2022,农林牧渔,YELLOW,STABLE,WARNING,OVERREACTION
603369,20220505,L5-A,50.0,36.11111111111111,L1,-0.1225538010313357,-0.1050389102842566,False,False,False,2022,食品饮料,GREEN,STABLE,HEALTHY,OVERREACTION
603439,20220505,L5-B,51.9774011299435,45.23809523809524,L2,0.0252032520325202,-0.0616631148254973,False,True,False,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
603520,20220505,L5-A,51.41242937853108,1.4285714285714286,L1,-0.4360451498362853,-0.5229115166943028,False,False,False,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
603566,20220505,L5-A,44.11764705882353,91.42857142857144,L0,0.3694856856171526,0.3670114618425303,True,False,True,2022,农林牧渔,YELLOW,STABLE,WARNING,OVERREACTION
603589,20220505,L5-A,17.1875,20.833333333333336,L1,-0.1588799704451484,-0.1413650796980693,False,False,False,2022,食品饮料,GREEN,STABLE,HEALTHY,OVERREACTION
603666,20220505,L5-A,20.47244094488189,5.434782608695652,L0,-0.2765335234284558,-0.5449688068987288,False,False,False,2022,机械设备,YELLOW,STABLE,WARNING,OVERREACTION
603698,20220505,L5-B,51.181102362204726,32.608695652173914,L0,0.1067207650159718,-0.1617145184543013,False,False,False,2022,机械设备,YELLOW,STABLE,WARNING,OVERREACTION
603719,20220505,L5-A,6.25,91.66666666666666,L3,0.2662123782425305,0.2837272689896096,True,True,True,2022,食品饮料,GREEN,STABLE,HEALTHY,OVERREACTION
603722,20220505,L5-A,18.69918699186992,19.73684210526316,L1,0.076333668192565,-0.0185197114696205,False,False,False,2022,基础化工,GREEN,TURNING_UP,WARNING,NORMAL_DISCOUNT
605166,20220505,L5-A,39.02439024390244,41.44736842105263,L2,0.1616983334163155,0.06684495375413,False,True,True,2022,基础化工,GREEN,TURNING_UP,WARNING,NORMAL_DISCOUNT
605183,20220505,L5-B,72.35772357723577,69.07894736842105,L0,0.1534459598852253,0.0585925802230398,True,False,True,2022,基础化工,GREEN,TURNING_UP,WARNING,NORMAL_DISCOUNT
605337,20220505,L5-B,45.3125,18.055555555555554,L0,-0.2094669549824709,-0.1919520642353918,False,False,False,2022,食品饮料,GREEN,STABLE,HEALTHY,OVERREACTION
605369,20220505,L5-B,28.24858757062147,91.42857142857144,L3,0.0094550779659832,-0.0774112888920343,True,True,False,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
