,nav
20240508,94359736.1652041
20240509,95715047.21198843
20240510,96079909.7956418
20240513,97164789.34326544
20240514,97822258.82781217
20240515,96686653.7891566
20240516,95872302.79039462
20240517,95834685.50154491
20240520,97395210.35894446
20240521,96745597.91408895
20240522,95976153.30758913
20240523,94199550.19675435
20240524,93969948.36721121
20240527,95447440.0449603
20240528,94476791.03385742
20240529,94554011.40252216
20240530,93747481.2870139
20240531,93734801.28065148
20240603,93377338.86761686
20240604,94561230.34082827
20240605,92456359.91109127
20240606,91790035.13982017
20240607,92284306.47670358
20240611,91956212.28377521
20240612,92909062.91241121
20240613,92317523.20643322
20240614,92460848.08525658
20240617,92052859.69149749
20240618,92807665.28223674
20240619,91860225.43060018
20240620,90748167.4799504
20240621,91026715.78186123
20240624,89004849.06424296
20240625,89350263.68789649
20240626,90574776.26084015
20240627,88985959.83020599
20240628,90066810.70729987
20240701,91327224.74617863
20240702,90006028.75266235
20240703,88924831.65082079
20240704,88070035.6444949
20240705,88670024.42817418
20240708,87351532.56700504
20240709,89553706.54056664
20240710,88771817.72782588
20240711,90338036.77550371
20240712,89612151.70940694
20240715,89059463.41999167
20240716,88614606.19496052
20240717,86788786.79746889
20240718,87098846.752341
20240719,86802011.53341195
20240722,86507264.4323677
20240723,84304463.45989896
20240724,83624323.66285095
20240725,83457381.66250573
20240726,84612700.8108859
20240729,84314911.83071305
20240730,84048819.58402182
20240731,86772006.09666866
20240801,86256455.5829513
20240802,85370963.53087556
20240805,83295967.47178659
20240806,83795125.36739784
20240807,83918552.58819176
20240808,84002778.13494419
20240809,83460668.60669535
20240812,83636772.81717138
20240813,84198987.52339548
20240814,83782981.25213918
20240815,84193951.2114387
20240816,83932352.84838805
20240819,84019523.15592621
20240820,83011416.92275743
20240821,82516199.45921594
20240822,81852239.57052612
20240823,81803050.01146992
20240826,81590495.23936643
20240827,80988855.79748121
20240828,81175515.44690262
20240829,81556095.8606252
20240830,82641969.45315003
20240902,81694147.05326647
20240903,82241111.71006678
20240904,81953713.68362948
20240905,82521666.77979125
20240906,81467841.46698613
20240909,80735009.40487362
20240910,80761429.86268151
20240911,80285183.84709185
20240912,79960945.81602764
20240913,79285902.65275985
20240918,79588288.19987282
20240919,80565275.9357583
20240920,80126173.3080426
20240923,80253940.10544817
20240924,83088240.84734307
20240925,83964780.71949238
20240926,86470813.9180746
20240927,89395295.62393734
20240930,97644032.43131675
20241008,103452944.64474082
20241009,95446285.69419101
20241010,93877406.2536173
20241011,91325290.72393914
20241014,94687968.8372124
20241015,93021595.60209595
20241016,92557436.13901486
20241017,92164608.34561831
20241018,95643227.9207565
20241021,97658174.84243801
20241022,98241918.99195603
20241023,97947425.22441904
20241024,97333749.22227095
20241025,99632925.75177622
20241028,101959015.22945006
20241029,100931718.96474542
20241030,101031174.61148933
20241031,102661000.51096542
20241101,97567325.61980952
20241104,99211881.36336309
20241105,102179574.73953304
20241106,102653711.43661314
20241107,104717176.6490712
20241108,104201833.82924415
20241111,105776492.81590033
20241112,104849525.5426987
20241113,104884419.42462108
20241114,102314263.48408929
20241115,100062586.9775469
20241118,98137036.20458555
20241119,100584553.25860845
20241120,102138471.16960801
20241121,102442063.04596211
20241122,99170633.14911611
20241125,100138799.37783052
20241126,98887238.36568564
20241127,100622151.49985483
20241128,100273077.12419733
20241129,102136147.84409338
20241202,103302915.1873076
20241203,103282539.16588219
20241204,101947392.40985724
20241205,103189097.39918889
20241206,104458032.27351807
20241209,104723922.71169105
20241210,105450420.55514474
20241211,107250619.39434157
20241212,108080777.6085249
20241213,105940019.04297021
20241216,105078252.56586093
20241217,101724258.91269316
20241218,102399431.19271405
20241219,102540136.93952794
20241220,103723061.89770608
20241223,100333651.9463969
20241224,102070818.69793063
20241225,100794620.5543598
20241226,102625950.61142224
20241227,102573661.91936232
20241230,102148499.79006986
20241231,99198967.31675981
20250102,97506771.00522618
20250103,94307278.64935206
20250106,93616655.1826225
20250107,95242505.54848544
20250108,95650131.7900441
20250109,95797466.44856098
20250110,94054939.02474035
20250113,93194569.76697923
20250114,97496552.59839487
20250115,97192222.90374875
20250116,97333792.66096021
20250117,98022152.63257676
20250120,98862612.7239182
20250121,99688300.8253101
20250122,98812104.69518282
20250123,98325291.38220324
20250124,99784936.59855035
20250127,98986219.2083045
20250205,98200515.91115545
20250206,100248573.06161356
20250207,100759016.53714418
20250210,101059903.75616252
20250211,101607568.44148257
20250212,102352969.65642478
20250213,100012525.87240082
20250214,99977378.5415708
20250217,101165128.09564252
20250218,99732110.02268483
20250219,102277645.84280899
20250220,103083996.02403992
20250221,104512176.73351495
20250224,104208158.76338792
20250225,103556618.67795126
20250226,104477173.94355088
20250227,104351135.13140455
20250228,100433102.60439655
20250303,99655782.56225233
20250304,100867848.16172378
20250305,102520331.91866033
20250306,104216671.18676591
20250307,104489505.92855874
20250310,104690560.07771805
20250311,104632491.22948124
20250312,105324573.8093305
20250313,103039312.62959647
20250314,105022057.9152885
20250317,105859405.20454375
20250318,107060617.67809354
20250319,106481082.56897353
20250320,106106088.35201162
20250321,103204334.17564906
20250324,103203769.241037
20250325,101657856.78263138
20250326,102651859.62973706
20250327,102464985.90643969
20250328,101845513.92953777
20250331,100899019.89715749
20250401,100398804.29500538
20250402,100968626.76531994
20250403,98777664.6680825
20250407,89306114.39787897
20250408,88540173.57923584
20250409,89794545.95336662
20250410,92071562.49705483
20250411,92664541.64416644
20250414,94125743.13172713
20250415,93817682.4222546
20250416,92670454.08602823
20250417,93009277.7666361
20250418,93063383.24338366
20250421,94586020.75436406
20250422,94488144.67862836
20250423,95721680.51403967
20250424,95500925.93891717
20250425,95727089.03091684
20250428,94769857.31670538
20250429,95441323.48847297
20250430,96029476.25698118
20250506,97616415.5939808
20250507,98356747.41231817
20250508,98324364.99524361
20250509,97474372.39801909
20250512,97877825.48548573
20250513,97735436.36919096
20250514,98050107.71224973
20250515,97247923.20070286
20250516,97440884.91981903
20250519,97665155.40699908
20250520,98251518.95339783
20250521,98510490.70703615
20250522,97162091.39591105
20250523,96347138.10429314
20250526,96583099.41443199
20250527,96705416.50942537
20250528,97087340.16388817
20250529,97980555.25791605
20250530,97179369.42723553
20250603,97746398.22937863
20250604,98716368.89354523
20250605,98712302.90004623
20250606,98698759.85965033
20250609,99324606.46315229
20250610,99028659.91436505
20250611,99746853.99759741
20250612,100131795.25997968
20250613,99720613.80369975
20250616,100039139.16364793
20250617,99929526.87161054
20250618,100008230.41145362
20250619,98700345.40670171
20250620,98053025.56082392
20250623,98748278.06715979
20250624,99729607.62856844
20250625,100745196.59326404
20250626,100903864.75482833
20250627,101083432.49620543
20250630,102430176.90264821
20250701,103362494.3001981
20250702,102224413.37941583
20250703,103328972.30598207
20250704,103210280.95641956
20250707,104064813.35732085
20250708,104844024.87811297
20250709,104530810.40180789
20250710,104133135.77363698
20250711,104481969.87290749
20250714,105352003.62445116
20250715,105333999.04473758
20250716,105069612.61364764
20250717,106180404.35991488
20250718,106384746.3120059
20250721,108020330.96373118
20250722,108433443.11519149
20250723,107976926.43494885
20250724,108430621.06115052
20250725,108176615.78676301
20250728,109350657.21010765
20250729,110286599.97170874
20250730,109858259.95571618
20250731,108341469.46972898
20250801,107942643.8579549
20250804,109318036.61791657
20250805,110174402.12316456
20250806,111638019.69809459
20250807,110868297.50587924
20250808,111541860.43642546
20250811,112727960.42196569
20250812,112919969.9069097
20250813,114504861.78487393
20250814,113296896.7671184
20250815,115263413.0730265
20250818,116583036.20808958
